,GLD,GLD,GLD,GLD,GLD
,open,high,low,close,volume
time,,,,,
2018-10-04 00:00:00-04:00,113.83,114.19,113.255,113.48,5849261
2018-10-05 00:00:00-04:00,113.81,114.1,113.57,113.83,6707890
2018-10-08 00:00:00-04:00,112.25,112.59,111.9,112.53,10451750
2018-10-09 00:00:00-04:00,112.37,112.67,111.97,112.62,6011172
2018-10-10 00:00:00-04:00,112.47,112.96,112.25,112.88,9366720
2018-10-11 00:00:00-04:00,114.2,116.04,114.09,115.73,22555639
2018-10-12 00:00:00-04:00,115.58,115.71,115.08,115.24,10359629
2018-10-15 00:00:00-04:00,116.12,116.53,115.89,115.94,9993011
2018-10-16 00:00:00-04:00,116.49,116.6,115.82,115.87,7401209
2018-10-17 00:00:00-04:00,115.89,116.33,115.68,115.76,6265117
2018-10-18 00:00:00-04:00,115.83,116.41,115.63,115.9,6926505
2018-10-19 00:00:00-04:00,116.23,116.24,115.96,116.015,6295439
2018-10-22 00:00:00-04:00,115.57,115.7789,115.43,115.69,4397960
2018-10-23 00:00:00-04:00,117.16,117.25,116.33,116.37,10692580
2018-10-24 00:00:00-04:00,116.38,116.72,116.1101,116.64,7532828
2018-10-25 00:00:00-04:00,116.58,116.73,116.19,116.39,7022619
2018-10-26 00:00:00-04:00,116.83,117.65,116.46,116.73,13715696
2018-10-29 00:00:00-04:00,116.41,116.54,115.84,116.3,7370729
2018-10-30 00:00:00-04:00,115.85,116.04,115.635,115.78,5728555
2018-10-31 00:00:00-04:00,114.89,115.17,114.66,115.14,8829135
2018-11-01 00:00:00-04:00,116.33,117.07,116.18,116.66,10781881
2018-11-02 00:00:00-04:00,116.61,116.98,116.39,116.65,5395186
2018-11-05 00:00:00-05:00,116.28,116.67,116.23,116.38,5888515
2018-11-06 00:00:00-05:00,116.44,116.69,115.74,116.49,6867144
2018-11-07 00:00:00-05:00,116.26,116.345,115.9,116.01,7036469
2018-11-08 00:00:00-05:00,115.77,116.15,115.5,115.77,6570094
2018-11-09 00:00:00-05:00,114.6,114.75,114.14,114.48,10247619
2018-11-12 00:00:00-05:00,114.01,114.05,113.58,113.66,6050583
2018-11-13 00:00:00-05:00,113.72,113.93,113.42,113.68,6235021
