,GLD,BTC
,close,close
2019-07-10,133.82,12649.90888194444
2019-07-11,132.7,11584.54125000001
2019-07-12,133.5,11585.726550764952
2019-07-15,133.51,10419.180666666702
2019-07-16,132.385,10355.96788742183
2019-07-17,134.59,9577.303708333347
2019-07-18,136.43,10053.263270833328
2019-07-19,134.47,10473.18592334494
2019-07-22,134.46,10451.229895324494
2019-07-23,133.69,10071.790445372311
2019-07-24,134.37,9703.59890668524
2019-07-25,133.38,10018.164896602666
2019-07-26,133.63,9775.289943542708
2019-07-29,134.52,9540.430303030318
2019-07-30,134.99,9541.301009110044
2019-07-31,133.2,9858.419105520625
2019-08-01,136.42,10085.80768318214
2019-08-02,135.89,10475.835839160827
2019-08-05,137.81,11676.24778318276
2019-08-06,138.92,11758.388526754698
2019-08-07,141.04,11712.383777777764
2019-08-08,141.76,11802.458498957623
2019-08-09,141.3,11820.708334494777
2019-08-12,142.61,11395.909725738418
2019-08-13,141.75,11138.48505563282
2019-08-14,142.76,10439.720375782874
2019-08-15,143.69,10012.595601111889
2019-08-16,142.81,10231.98398051496
2019-08-19,141.0962,10616.16021739131
2019-08-20,142.22,10752.091315974636
2019-08-21,141.76,10192.31501747029
2019-08-22,141.4,10043.889769553074
2019-08-23,144.16,10262.042563380288
2019-08-26,144.19,10343.60026001406
2019-08-27,145.51,10171.264978783574
2019-08-28,145.16,10040.604767277871
2019-08-29,144.13,9517.901635220123
2019-08-30,143.74,9532.6127080395
2019-09-03,145.74,10520.045279720272
2019-09-04,146.65,10561.06775596072
2019-09-05,143.15,10562.01784090908
2019-09-06,141.92,10657.346271067405
2019-09-09,141.39,10298.575170940145
2019-09-10,140.16,10217.832800859598
2019-09-11,141.02,10060.677847025496
2019-09-12,141.33,10217.097519434596
2019-09-13,140.16,10312.967105075046
2019-09-16,141.3,10249.697091295113
2019-09-17,141.63,10214.85652945352
2019-09-18,140.69,10192.852584745771
2019-09-19,141.28,9987.976918239005
2019-09-20,142.98,10172.23831056794
2019-09-23,143.76,9874.427912860168
2019-09-24,144.51,9421.382142358674
2019-09-25,141.81,8448.021395833332
2019-09-26,141.8,8249.27058577407
2019-09-27,141.04,8037.153263598325
2019-09-30,138.88,8070.564661076181
2019-10-01,139.62,8359.95440501042
2019-10-02,141.27,8255.42358831711
2019-10-03,141.91,8243.277540294306
2019-10-04,141.93,8145.511695621972
2019-10-07,140.72,8039.444611111098
2019-10-08,141.93,8208.53052998604
2019-10-09,142.07,8337.950493398197
2019-10-10,140.82,8559.466785216155
2019-10-11,140.04,8397.59130555558
2019-10-14,140.59,8306.796164002777
2019-10-15,139.6,8262.564996515672
2019-10-16,140.4,8063.322694986056
2019-10-17,140.61,8031.7073221757455
2019-10-18,140.47,7962.06305555555
2019-10-21,139.8,8221.286648122374
2019-10-22,140.19,8198.71101045296
2019-10-23,140.56,7735.739508315262
2019-10-24,141.55,7448.861044568229
2019-10-25,141.87,7879.444871438504
2019-10-28,140.67,9474.998527777754
2019-10-29,140.24,9382.782124999994
2019-10-30,141.01,9192.5762960389
2019-10-31,142.42,9172.011725817669
2019-11-01,142.58,9154.428203508753
2019-11-04,142.15,9256.295154277695
2019-11-05,139.9,9343.039402362752
2019-11-06,140.47,9335.865901408442
2019-11-07,138.28,9238.15624472571
2019-11-08,137.39,8979.536128113847
2019-11-11,137.04,8792.664426345596
2019-11-12,137.44,8733.579235624122
2019-11-13,137.98,8747.358740377884
2019-11-14,138.57,8655.076931659692
2019-11-15,138.2,8539.195414634143
2019-11-18,138.64,8378.137779329603
2019-11-19,138.71,8114.951417651149
2019-11-20,138.75,8097.609478442276
2019-11-21,138.0,7847.538466898965
2019-11-22,137.75,7342.114343293968
2019-11-25,137.06,6962.00264583333
2019-11-26,137.75,7140.498450312723
2019-11-27,137.02,7251.810083449238
2019-11-29,137.88,7611.754926829281
2019-12-02,137.79,7309.524982480728
2019-12-03,139.14,7318.43108240224
2019-12-04,138.93,7276.115539318014
2019-12-05,139.01,7327.980285118216
2019-12-06,137.59,7404.394382414525
2019-12-09,137.59,7460.619754385968
2019-12-10,137.96,7300.159686847589
2019-12-11,138.93,7210.243534785655
2019-12-12,138.44,7171.960988086896
2019-12-13,139.08,7226.567960618856
2019-12-16,139.05,7032.384144460034
2019-12-17,139.01,6789.913400837997
2019-12-18,139.0,6770.714243055562
2019-12-19,139.33,7147.46544822793
2019-12-20,139.16,7150.495325858433
2019-12-23,139.94,7503.4340516039
2019-12-24,141.25,7296.075943859643
2019-12-26,142.4,7220.866718639273
2019-12-27,142.32,7191.506624383366
2019-12-30,142.66,7297.854109014699
2019-12-31,142.93,7198.663852112673
2020-01-02,143.94,7072.191812456262
2020-01-03,145.89,7217.845443126311
2020-01-06,147.42,7533.585927221822
2020-01-07,148.01,7929.412230715767
2020-01-08,146.87,8235.208525730177
2020-01-09,146.01,7898.202884078205
2020-01-10,146.92,7887.707341684052
2020-01-13,145.8,8102.222749476622
2020-01-14,145.68,8574.334854166676
2020-01-15,146.53,8743.136027777775
